,DMN,Sensorimotor,Salience,Visual,Language,DorsalAttention,FPN,Cerebellar
pMCC_i3_R,0.000134384873006295,9.4859910357385e-05,3.4254967629056e-05,5.2699950198547e-05,0.000284579731072154,7.904992529782e-06,0.000105399900397094,5.269995019855e-06
dPCC_i1_R,0.002007868102564643,0.000187084823204842,2.8984972609201e-05,0.000189719820714769,3.952496264891e-05,0.000205529805774334,0.005267360022344779,0.000144924863046004
dPCC_i2_R,0.00313564703681355,1.0539990039709e-05,0.0,6.8509935258111e-05,1.5809985059564e-05,1.3174987549637e-05,0.002927482233529289,6.5874937748184e-05
dPCC_i3_R,0.001594173493506049,0.0,0.0,0.000158099850595641,6.3239940238256e-05,0.0,2.634997509927e-06,5.269995019855e-06
vPCC_i1_R,0.0059629993649656,0.000982854071202903,0.0,0.000650844384952056,5.5334947708474e-05,0.000121209885456658,0.000184449825694915,4.7429955178692e-05
RSC_R,0.009760030776770916,0.009889145654757356,0.00026876974601259,0.027369719135615415,0.001768083329161254,0.001947263159836314,0.003254221924760281,0.00184186325943922
pMCC_i3_L,2.634997509927e-06,1.8444982569491e-05,2.634997509927e-06,0.000189719820714769,0.000152829855575786,0.0,0.000350454668820338,0.0
dPCC_i1_L,0.001222638844606292,7.904992529782e-06,7.3779930277966e-05,0.000192354818224697,1.3174987549637e-05,0.000600779432263436,0.004969605303722988,0.000137019870516222
dPCC_i2_L,0.002440007694192729,0.0,1.0539990039709e-05,0.000303024713641646,0.000658749377481838,6.5874937748184e-05,0.00457962567225374,0.000134384873006295
dPCC_i3_L,0.000339914678780629,0.0,5.269995019855e-06,8.4319920317675e-05,0.000118574887946731,0.0,0.000271404743522517,2.634997509927e-06
vPCC_i1_L,0.005449174850529767,0.0,2.3714977589346e-05,0.00139391368275157,0.000118574887946731,0.0,0.001768083329161254,0.000123844882966586
RSC_L,0.004574355677233885,4.2159960158838e-05,1.3174987549637e-05,0.003638931561209675,1.3174987549637e-05,3.4254967629056e-05,5.7969945218402e-05,1.5809985059564e-05
pMCC_s3_R,0.000640304394912347,0.014070886703012066,0.003009167156337037,0.009765300771790771,0.002856337300761251,0.003486101705633888,8.4319920317675e-05,1.3174987549637e-05
dPCC_s1_R,0.001768083329161254,0.001185748879467309,0.005177770107007248,0.000637669397402419,0.000811579233057625,0.002260827863517669,0.003541436653342363,0.000194989815734624
dPCC_s2_R,0.005354314940172382,8.1684922807748e-05,0.002371497758934618,0.0017917983067506,0.000505919521906052,0.002068473045292972,0.006086844247932185,0.000988124066222757
dPCC_s3_R,0.004737725522849381,0.0,0.000579699452184018,0.001067173991520578,0.00372325148152735,2.634997509927e-06,0.004255520978532676,0.000724624315230022
dPCC_s5_R,0.00533586995760289,1.5809985059564e-05,2.634997509927e-06,0.000350454668820338,0.001557283528367066,0.0,0.000974949078673121,0.000292484723601936
vPCC_s1_R,0.005443904855509911,0.001270068799784984,1.8444982569491e-05,0.002281907843597088,0.000632399402382565,0.000197624813244551,0.000115939890436804,0.000144924863046004
vPCC_s2_R,0.001283243787334621,0.005609909698635335,9.2224912847457e-05,0.03560935634915825,0.000189719820714769,0.002065838047783045,2.634997509927e-06,0.000650844384952056
pMCC_s3_L,0.000213434798304116,0.015535945318531674,0.001309593762433894,0.015925924950000923,0.005417554880410638,0.004948525323643569,0.000100129905377239,7.1144932768039e-05
dPCC_s1_L,0.002176507943199994,0.003578326618481346,0.002782557370483285,0.000803674240527843,0.001552013533347211,0.005301614989973834,0.003370161815197085,3.1619970119128e-05
dPCC_s2_L,0.004537465712094902,0.0,0.001488773593108954,0.000790499252978206,0.002168602950670212,0.001122508939229053,0.004893190375935095,0.000440044584157868
dPCC_s3_L,0.004239710993473111,0.0,0.000711449327680385,0.001357023717612587,0.006661273705096349,5.269995019855e-06,0.003696901506428076,0.000843199203176753
dPCC_s5_L,0.004872110395855676,0.0,0.000202894808264406,0.000355724663840193,0.002824717330642123,0.0,0.001865578237028566,0.000469029556767069
vPCC_s1_L,0.002079013035332681,1.0539990039709e-05,5.269995019855e-06,0.000511189516925906,7.904992529782e-06,0.0,6.5874937748184e-05,6.0604942728329e-05
vPCC_s2_L,0.004445240799247445,0.004287140948651804,0.0,0.02665036481540525,8.1684922807748e-05,0.000353089666330265,0.000100129905377239,6.5874937748184e-05
pMCC_i2_R,2.3714977589346e-05,0.000606049427283291,0.000221339790833898,2.634997509927e-06,0.000469029556767069,0.000155464853085714,9.4859910357385e-05,0.0
pMCC_i1_R,0.000126479880476513,0.003241046937210644,0.000247689765933171,0.000424234599098304,0.000137019870516222,0.002519057619490549,8.6954917827603e-05,0.0
aMCC_i3_R,5.7969945218402e-05,0.001681128411333651,0.000732529307759804,0.000142289865536077,0.000181814828184987,0.000967044086143339,1.3174987549637e-05,5.269995019855e-06
aMCC_i2_R,2.634997509927e-06,0.000458489566727359,0.001243718824685711,3.6889965138983e-05,0.000202894808264406,0.000313564703681355,0.0,5.269995019855e-06
aMCC_i1_R,7.904992529782e-06,1.3174987549637e-05,0.000832659213137044,5.2699950198547e-05,5.269995019855e-06,2.634997509927e-06,5.2699950198547e-05,0.0
pgACC_i3_R,0.000176544833165133,1.5809985059564e-05,0.000374169646409684,2.3714977589346e-05,2.634997509927e-06,0.0,1.5809985059564e-05,5.269995019855e-06
pgACC_i2_R,0.000411059611548667,0.0,0.000276674738542372,1.3174987549637e-05,0.0,0.0,0.0,0.0
pgACC_i1_R,0.000411059611548667,1.0539990039709e-05,0.0,5.269995019855e-06,0.000210799800794188,0.0,2.3714977589346e-05,0.0
sgACC_R,0.000363629656369975,2.634997509927e-06,0.0,1.0539990039709e-05,0.000118574887946731,0.0,0.0,0.0
pMCC_i2_L,5.269995019855e-06,0.000690369347600966,9.4859910357385e-05,0.000292484723601936,0.001222638844606292,3.4254967629056e-05,5.7969945218402e-05,0.0
pMCC_i1_L,9.7494907867312e-05,0.002829987325661977,0.000158099850595641,0.000237149775893462,0.000134384873006295,0.002184412935729776,6.3239940238256e-05,5.269995019855e-06
aMCC_i3_L,0.000245054768423244,0.003789126419275534,0.001364928710142369,0.000632399402382565,0.000260864753482808,0.003154092019383042,7.1144932768039e-05,0.0
aMCC_i2_L,0.0,0.001032919023891522,0.002176507943199994,2.3714977589346e-05,0.000437409586647941,0.000548079482064889,1.5809985059564e-05,0.0
aMCC_i1_L,2.634997509927e-06,7.1144932768039e-05,0.001349118725082805,8.958991533753e-05,0.000194989815734624,2.6349975099274e-05,2.6349975099274e-05,2.634997509927e-06
pgACC_i3_L,0.000144924863046004,1.0539990039709e-05,0.000284579731072154,8.958991533753e-05,5.269995019855e-06,0.0,5.2699950198547e-05,2.634997509927e-06
pgACC_i2_L,0.000279309736052299,0.0,0.000158099850595641,2.634997509927e-06,0.0,0.0,2.634997509927e-06,0.0
pgACC_i1_L,0.001238448829665856,2.634997509927e-06,5.269995019855e-06,0.0,1.8444982569491e-05,0.0,0.0,0.0
sgACC_L,0.000121209885456658,1.0539990039709e-05,0.0,2.634997509927e-06,1.0539990039709e-05,0.0,0.0,0.0
pMCC_s2_R,7.9049925297821e-05,0.015238190599909883,0.000611319422303146,0.007430692977995135,0.00184186325943922,0.0020711080428029,0.0,3.1619970119128e-05
pMCC_s1_R,2.634997509927e-06,0.016381779519218355,0.002772017380443575,0.002384672746484255,0.00062712940736271,0.004906365363484731,0.0,8.4319920317675e-05
aMCC_s3_R,0.000142289865536077,0.009354241160242104,0.007802227626894893,0.00761514280369005,0.001117238944209198,0.001720653373982562,0.000242419770913316,0.000637669397402419
aMCC_s2_R,0.0,0.000745704295309441,0.007762702664245983,0.001723288371492489,0.000508554519415979,3.1619970119128e-05,0.001591538495996121,0.000458489566727359
aMCC_s1_R,9.4859910357385e-05,1.0539990039709e-05,0.005117165164278919,0.000569159462144308,0.000181814828184987,0.0,0.002484802651861494,0.00035835966135012
pgACC_s3_R,0.001897198207147694,8.6954917827603e-05,0.002858972298271178,0.000289849726092009,0.000969679083653266,0.0,0.004076341147857615,0.000719354320210167
pgACC_s2_R,0.003765411441686188,0.000194989815734624,0.001014474041322031,0.0,0.001349118725082805,0.0,0.003372796812707012,0.000432139591628086
pMCC_s2_L,6.3239940238256e-05,0.01653724437230407,0.001143588919308471,0.006684988682685695,0.002548042592099751,0.003596771601050837,0.0,4.2159960158838e-05
pMCC_s1_L,2.634997509927e-06,0.015412100435565089,0.004392540849048897,0.001992058117505079,0.000785229257958351,0.006505808852010635,0.0,0.000147559860555932
aMCC_s3_L,0.0,0.00826335219113218,0.00702753835897625,0.001747003349081835,0.001636333453664886,0.002065838047783045,0.000284579731072154,0.000250324763443099
aMCC_s2_L,3.1619970119128e-05,0.000239784773403389,0.005615179693655189,3.1619970119128e-05,0.001201558864526873,0.000266134748502663,0.002345147783835344,0.000366264653879902
aMCC_s1_L,0.000366264653879902,0.0,0.005897124427217416,9.2224912847457e-05,0.000993394061242612,0.000216069795814043,0.003077677091595149,0.000519094509455689
pgACC_s3_L,0.001855038246988856,5.5334947708474e-05,0.003688996513898295,0.0,0.00381284139686488,0.000181814828184987,0.005746929569151557,0.000645574389932202
pgACC_s2_L,0.003238411939700717,0.0,0.001088253971599997,0.0,0.00413167609556609,0.0,0.002416292716603383,0.000200259810754479
